The Stranger,Drama
Racing Luck,Adventure
Frankenstein's Bloody Terror,Horror
Day of Wrath,Drama
Income Tax Sappy,Black-and-white
The Butterfly Tattoo,Drama
A World Without Thieves,Action
Twisted Nerve,Drama
Zwei Menschen,Drama
Ab Tumhare Hawale Watan Saathiyo,Action
Cactus,Drama
Montana Sky,Drama
He-Man and She-Ra: A Christmas Special,Adventure
Klown Kamp Massacre,Horror
The Last Lovecraft: Relic of Cthulhu,Comedy
Should Married Men Go Home?,Black-and-white
Forbidden Fruit,LGBT
It's Got Me Again!,Animation
Samooham,Drama
Beer and Pretzels,Comedy
The Crooked Web,Crime Fiction
All Through the Night,Thriller
Escanaba in da Moonlight,Comedy
The Amazing Dr. Clitterhouse,Black-and-white
Punch and Jody,Drama
Tony Rome,Thriller
Romper Stomper,Action
The Triumphs of a Man Called Horse,Western
Shadow of a Doubt,Drama
Chathurangam,Drama
Tora-san's Forget Me Not,Japanese Movies
What's New Pussycat?,Comedy
Made in America,Comedy
Moonrise Kingdom,Drama
Pyar Ka Mandir,World cinema
Capricorn One,Adventure
Common Bonds,Drama
Survival Zone,Action
Diary of King Yeonsan,Drama
The Weight of Water,Crime Fiction
Speak,Drama
Caved In: Prehistoric Terror,Horror
Valiant Is the Word for Carrie,Drama
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Drama
Cor Blimey!,Drama
"Edward, My Son",Black-and-white
Sarah,Animation
Pope Dreams,Drama
Against the Wind,Action
Trapped in the Closet Chapters 1–12,Musical
Secret Reunion,Action
The Last House on the Left,Horror
Spare a Copper,Comedy
10.5: Apocalypse,Action
Deewana Mastana,Comedy
Bewitched Bunny,Animation
Sweet Sweetback's Baadasssss Song,Action
5ive Girls,Horror
Northwest Trail,Action/Adventure
Speedy Ghost to Town,Animation
Sunshine Sally,Silent film
The Dollmaker,Drama
Alice of Wonderland in Paris,Children's/Family
Thottal Poo Malarum,Musical
The Crazies,Action/Adventure
Tess of the d'Urbervilles,Black-and-white
The Broken Melody,Drama
Humpday,Comedy
Alfalfa's Double,Black-and-white
Peter and Vandy,Drama
The Two of Us,Comedy
Gair Kanooni,Action
Who Dares Wins,Action
Attack,Action
Soapdish,Comedy
Thodisi Bewafaii,Bollywood
Man in the Sky,Drama
The New Country,Comedy
Enkeyo Ketta Kural,Drama
Avishkaar,Drama
Yeh Sunday Kyun Aata Hai,Comedy film
Homer and Eddie,Comedy
Paprika,Fantasy
Hotel Haywire,Black-and-white
Lahu Ke Do Rang,Action
Transcendent Man,Culture & Society
The Omen,Horror
Sweet Home,Horror
Aar-Paar,Drama
Parking,Chinese Movies
Brainsmasher... A Love Story,Action
Proud,Drama
Samba Traoré,Drama
Beyond the Door III,Horror
Du er ikke alene,Coming of age
Gandharvam,Drama
Crazy,Drama
The Hearse,Horror
Li'l Abner,Comedy
The Sisterhood,Horror
Trail of the Lonesome Pink,Animation
Varumayin Niram Sigappu,Drama
The Players Club,Comedy
Penny Dreadful,Horror
Run for Your Wife,Comedy
The King and I,Costume drama
Stavisky,Drama
Mad Max Beyond Thunderdome,Action
I Stand Alone,Crime Fiction
Be Cool,Comedy
The Barbarian and the Geisha,Adventure
Danger Beneath the Sea,Action
Millennium Stars,Drama
"Liar, Liar",Drama
Blinky Bill,Animation
Re-Kill,Horror
City of Men,Drama
Little Johnny Jet,Animation
Stage Door Cartoon,Animation
Seedan,Family Film
Talent for the Game,Drama
Alan & Naomi,Drama
Hans Westmar. Einer von vielen. Ein deutsches Schicksal aus dem Jahre 1929,Biographical film
Sällskapsresan,Comedy
AAA – La Película,Action
A Charlie Brown Valentine,Animation
Dance Dance,Musical
Dick Ho: Asian Male Porn Star,Documentary
Psycho,Thriller
Dating the Enemy,Comedy
Busted,Comedy
The Tin Drum,Drama
Italians and Other Strangers,Gay pornography
Seniman Bujang Lapok,Comedy
Wanted: Dead or Alive,Action
Restless,Drama
Reversal of Fortune,Drama
First on the Moon,Science Fiction
Forsaking All Others,Silent film
The Convent,Drama
Forest of the Damned 2,Horror
Our Disappeared,Documentary
Sidekicks,Action
The Time Machine,Adventure
Excuse Me,Comedy
A Message to Garcia,Drama
One Evening After the War,Drama
An American Opera,Documentary
New York Town,Comedy
Ujala,Action
Bor Asbe Ekhuni,Comedy
Green Legend Ran,Animation
Scream of the Banshee,Horror
Superman,Adventure
Visible Secret,Horror
The Girl He Left Behind,Comedy
El Hombre que Vino de Ummo,Horror
The Informers,Drama
Black Dalia,Drama
Return of the Boogeyman,Horror
Shiner,Drama
The Odd Angry Shot,Comedy
Fight Back to School III,Chinese Movies
Frankenstein,Drama
The Cathedral,Animation
Northern Lights,Drama
Staying Alive,Drama
Bawarchi,Musical
Auzaar,Action
Breaking the Waves,Drama
The Hand is Pinker than the Eye,Animation
Blackthorn,Western
Cet homme est dangereux,Adventure
An American Crime,Crime Fiction
Thalapathi,Action
American Faust: From Condi to Neo-Condi,Documentary
Face,Horror
La vaquilla,Comedy
Gowri,Drama
A Soldier Speaks after Death,Drama
School for Scoundrels,Comedy
Young Man of Manhattan,Black-and-white
Cameriera bella presenza offresi...,Black-and-white
The Life of Reilly,Biography
Herbie Rides Again,Comedy
The 40-Year-Old Virgin,Comedy
Fullmetal Alchemist the Movie: Conqueror of Shamballa,Drama
Anita: Swedish Nymphet,Drama
Urge to Kill,Drama
Trouble with the Curve,Drama
The Land Before Time,Adventure
Playtime,Comedy
I Stole a Million,Crime Fiction
Blade Runner,Drama
The Human Sexipede,Pornographic movie
Greedy,Comedy
The Matriarch,Drama
Anna Karenina,Black-and-white
Summer School Teachers,Thriller
Desert Fury,Crime Fiction
Frankenstein,Drama
About Her Brother,Comedy
Sapphire,Crime Fiction
Android Re-Enactment,Science Fiction
The Class of Nuke 'Em High,Horror
Krakatoa: The Last Days,Drama
The Adventures of Marco Polo,Adventure
Trenchcoat,Comedy
Nederland en Oranje,Silent film
Curse of the Undead,Horror
Hell Drivers,Crime Fiction
Time Bombs,Documentary
The Four Skulls of Jonathan Drake,Horror
Death in Love,Drama
Becoming dick,Comedy
The Land Before Time IV: Journey Through the Mists,Adventure
This Ain't Avatar XXX,Pornographic movie
Aa Naluguru,Drama
Bearing Witness,War film
La Tía Tula,Drama
Never Forever,Drama
Mazhavillu,Drama
Les Carabiniers,Drama
The Tempest,Comedy
Canvas Back Duck,Comedy
Vai que é Mole,Comedy
Pandiyan,Action
Wide Open Spaces,Animation
30 Days,Comedy
Mumbai Express,Comedy
Hellfighters,Disaster
The Ghost Writer,Drama
The Living Daylights,Action
A Little Night Music,Comedy
Taste the Blood of Dracula,Horror
Where the Boys Are,Comedy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy
Young Adam,Drama
Burying The Past: Legacy of The Mountain Meadows Massacre,Documentary
The Debut,Comedy
Wedding Wars,Comedy
Dandy Dick,Black-and-white
Half Empty Saddles,Animation
Godzilla vs. King Ghidorah,Japanese Movies
Laksamana Do Re Mi,Adventure
Shodh,Drama
Ghosts,Short Film
Dark Water,Horror
Hare Rama Hare Krishna,Drama
Lady Magdalene's,Comedy
Weekend at Bernie's II,Comedy
The Square Peg,Comedy
1408,Horror
Five Element Ninjas,Action
The Savage Innocents,Action
Lust for Gold,Crime Fiction
Inkheart,Adventure
Coming Home,Drama
Paappi Devataa,Action
Asterix & Obelix : God save Britannia,Adventure
The Tom and Jerry Cartoon Kit,Animation
Blade,Action
Das Boot,Drama
The Mod Squad,Thriller
Brother Bear 2,Family Film
Veronika Voss,Drama
Resurrection of the Little Match Girl,Comedy
Madame X,Black-and-white
Rain,Black-and-white
Mysterious Island,Horror
Centered in the Universe,Documentary
Courage of Lassie,Drama
How We Beat the Emden,Silent film
Il Postino,Drama
Lady Be Good,Musical
The Good Mother,Drama
How She Move,Drama
The Cross of Lorraine,Action
Slackistan,Drama
House of 1000 Corpses,Horror
Best of Luck,Drama
Burning Annie,Comedy
Gold Diggers of 1935,Black-and-white
Spur of the Moment,Drama
Starchaser: The Legend of Orin,Adventure
Evil Ed,Comedy
Wings Of The Navy,Drama
Shaolin Temple,Chinese Movies
Faces of Children,Black-and-white
That Obscure Object of Desire,Comedy
Batman: Under the Red Hood,Action
Draupadi Vastrapaharanam,Drama
Around the World in Eighty Days,Adventure
Scooby-Doo! Camp Scare,Adventure
Miracle on 34th Street,Family Film
One Way Street,Film noir
One Night in Rome,Black-and-white
Beneath the Valley of the Ultra-Vixens,Comedy
Cave Dwellers,Adventure
Believe In Me,Drama
Species,Horror
Ghost Patrol,Black-and-white
Salt Water Tabby,Short Film
I Served the King of England,Drama
